[2026-01-28 18:55:38,922][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/config.json "HTTP/1.1 200 OK"
[2026-01-28 18:55:39,072][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-01-28 18:55:39,235][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/medgemma-4b-it/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-01-28 18:55:39,381][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/medgemma-4b-it/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-01-28 18:55:41,912][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/config.json "HTTP/1.1 200 OK"
[2026-01-28 18:55:43,084][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/generation_config.json "HTTP/1.1 200 OK"
[2026-01-28 18:55:43,233][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/custom_generate/generate.py "HTTP/1.1 404 Not Found"
[2026-01-28 18:55:43,401][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/huseyincavus/CoTLab_data/resolve/main/histopathology.tsv "HTTP/1.1 307 Temporary Redirect"
[2026-01-28 18:55:43,412][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/huseyincavus/CoTLab_data/217312378297954e6d29b93276f529345a20c2f2/histopathology.tsv "HTTP/1.1 200 OK"
[2026-01-28 18:55:43,592][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/huseyincavus/CoTLab_data/resolve/main/histopathology.tsv "HTTP/1.1 307 Temporary Redirect"
[2026-01-28 18:55:43,603][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/huseyincavus/CoTLab_data/217312378297954e6d29b93276f529345a20c2f2/histopathology.tsv "HTTP/1.1 200 OK"
[2026-01-28 18:55:43,756][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/huseyincavus/CoTLab_data/resolve/main/radiology.json "HTTP/1.1 307 Temporary Redirect"
[2026-01-28 18:55:43,767][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/huseyincavus/CoTLab_data/217312378297954e6d29b93276f529345a20c2f2/radiology.json "HTTP/1.1 200 OK"
